image_path,status,error_message
downloaded_images/95247420_10164_tomato_solanum_lycopersicum_2021_9_17_16_europe_london_netley_england_hampshire_GB.jpg,Failure,"HTTPSConnectionPool(host='api.roboflow.com', port=443): Read timed out. (read timeout=60)"
downloaded_images/238450040_10236_tomato_solanum_lycopersicum_2024_8_28_12_america_new_york_saguenay_quebec_saguenay/lac-saint-jean_CA.jpg,Failure,The provided image path [ downloaded_images/238450040_10236_tomato_solanum_lycopersicum_2024_8_28_12_america_new_york_saguenay_quebec_saguenay/lac-saint-jean_CA.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/238450040_10237_tomato_solanum_lycopersicum_2024_8_28_12_america_new_york_saguenay_quebec_saguenay/lac-saint-jean_CA.jpg,Failure,The provided image path [ downloaded_images/238450040_10237_tomato_solanum_lycopersicum_2024_8_28_12_america_new_york_saguenay_quebec_saguenay/lac-saint-jean_CA.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/238450040_10238_tomato_solanum_lycopersicum_2024_8_28_12_america_new_york_saguenay_quebec_saguenay/lac-saint-jean_CA.jpg,Failure,The provided image path [ downloaded_images/238450040_10238_tomato_solanum_lycopersicum_2024_8_28_12_america_new_york_saguenay_quebec_saguenay/lac-saint-jean_CA.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/238233786_10264_tomato_solanum_lycopersicum_2024_8_27_8_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg,Failure,The provided image path [ downloaded_images/238233786_10264_tomato_solanum_lycopersicum_2024_8_27_8_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/59440652_10804_tomato_solanum_lycopersicum_2020_9_13_14_africa_johannesburg_groningen_groningen_gemeente_groningen_NL.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/234268341_10986_tomato_solanum_lycopersicum_2024_8_3_11_america_mexico_city_azcapotzalco_mexico_city__MX.jpg,Failure,<Response [502]>
downloaded_images/11531287_11420_tomato_solanum_lycopersicum_2018_4_27_11_america_chicago_guadalupe_nuevo_leon__MX.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/221977373_11594_tomato_solanum_lycopersicum_2024_6_11_13_australia_perth_kalgoorlie_western_australia_kalgoorlie/boulder_AU.jpg,Failure,The provided image path [ downloaded_images/221977373_11594_tomato_solanum_lycopersicum_2024_6_11_13_australia_perth_kalgoorlie_western_australia_kalgoorlie/boulder_AU.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/202886325_12201_tomato_solanum_lycopersicum_2024_3_17_16_america_chicago_four_corners_texas_fort_bend_county_US.jpg,Failure,"HTTPSConnectionPool(host='api.roboflow.com', port=443): Max retries exceeded with url: /dataset/inaturalist-tomatoes-part-2/annotate/EELdsZcanvmW94Xcv2CL?api_key=UzNlqGFl1vQtAEgIcbeZ&name=tomato (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000016CBDD96650>, 'Connection to api.roboflow.com timed out. (connect timeout=60)'))"
downloaded_images/200755551_12300_tomato_solanum_lycopersicum_2024_2_24_17_africa_nairobi_burao_togdheer__SO.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/199804134_12350_tomato_solanum_lycopersicum_2024_2_19_11_africa_porto-novo_tanguieta_atakora__BJ.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/198075661_12443_tomato_solanum_lycopersicum_2024_1_30_16_atlantic_azores_vila_franca_do_campo_azores_vila_franca_do_campo_PT.jpg,Failure,<Response [502]>
downloaded_images/190411585_12825_tomato_solanum_lycopersicum_2023_10_22_10_america_new_york_boston_massachusetts_suffolk_county_US.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/189958772_12850_tomato_solanum_lycopersicum_2023_11_2_13_america_mexico_city_fraccionamiento_san_miguel_oaxaca_san_juan_bautista_guelache_MX.jpg,Failure,'str' object has no attribute 'get'
